Aggregate,ATAR
488.62,99.95
487.72,99.9
487.5,99.85
487.2,99.8
486.84,99.75
486.54,99.7
486.28,99.65
485.96,99.6
485.61,99.55
485.29,99.5
484.96,99.45
484.68,99.4
484.38,99.35
484.03,99.3
483.71,99.25
483.41,99.2
483.12,99.15
482.77,99.1
482.48,99.05
482.2,99.0
481.89,98.95
481.55,98.9
481.26,98.85
480.96,98.8
480.6,98.75
480.29,98.7
480.01,98.65
479.71,98.6
479.36,98.55
479.06,98.5
478.75,98.45
478.47,98.4
478.18,98.35
477.84,98.3
477.53,98.25
477.21,98.2
476.91,98.15
476.59,98.1
476.3,98.05
476.01,98.0
475.69,97.95
475.37,97.9
475.06,97.85
474.78,97.8
474.5,97.75
474.19,97.7
473.88,97.65
473.58,97.6
473.24,97.55
472.93,97.5
472.63,97.45
472.4,97.4
472.03,97.35
471.76,97.3
471.42,97.25
471.11,97.2
470.81,97.15
470.53,97.1
470.26,97.05
469.95,97.0
469.65,96.95
469.36,96.9
469.07,96.85
468.75,96.8
468.42,96.75
468.15,96.7
467.86,96.65
467.55,96.6
467.28,96.55
466.99,96.5
466.63,96.45
466.38,96.4
466.11,96.35
465.82,96.3
465.47,96.25
465.24,96.2
464.91,96.15
464.64,96.1
464.35,96.05
464.03,96.0
463.71,95.95
463.42,95.9
463.14,95.85
462.86,95.8
462.58,95.75
462.26,95.7
462.0,95.65
461.72,95.6
461.41,95.55
461.1,95.5
460.8,95.45
460.57,95.4
460.27,95.35
459.98,95.3
459.7,95.25
459.39,95.2
459.08,95.15
458.8,95.1
458.53,95.05
458.23,95.0
457.94,94.95
457.67,94.9
457.41,94.85
457.08,94.8
456.81,94.75
456.52,94.7
456.24,94.65
455.98,94.6
455.69,94.55
455.36,94.5
455.09,94.45
454.81,94.4
454.52,94.35
454.22,94.3
453.95,94.25
453.68,94.2
453.42,94.15
453.16,94.1
452.84,94.05
452.54,94.0
452.26,93.95
451.99,93.9
451.7,93.85
451.43,93.8
451.17,93.75
450.89,93.7
450.61,93.65
450.33,93.6
450.04,93.55
449.76,93.5
449.47,93.45
449.19,93.4
448.89,93.35
448.62,93.3
448.34,93.25
448.05,93.2
447.79,93.15
447.49,93.1
447.24,93.05
446.94,93.0
446.65,92.95
446.36,92.9
446.08,92.85
445.83,92.8
445.53,92.75
445.28,92.7
444.96,92.65
444.71,92.6
444.43,92.55
444.15,92.5
443.87,92.45
443.55,92.4
443.28,92.35
443.02,92.3
442.74,92.25
442.45,92.2
442.16,92.15
441.88,92.1
441.6,92.05
441.33,92.0
441.07,91.95
440.81,91.9
440.55,91.85
440.26,91.8
439.97,91.75
439.75,91.7
439.46,91.65
439.14,91.6
438.81,91.55
438.5,91.5
438.23,91.45
438.01,91.4
437.68,91.35
437.41,91.3
437.16,91.25
436.88,91.2
436.6,91.15
436.33,91.1
436.04,91.05
435.77,91.0
435.43,90.95
435.18,90.9
434.89,90.85
434.58,90.8
434.29,90.75
434.02,90.7
433.74,90.65
433.47,90.6
433.19,90.55
432.91,90.5
432.64,90.45
432.39,90.4
432.11,90.35
431.8,90.3
431.51,90.25
431.23,90.2
430.97,90.15
430.7,90.1
430.41,90.05
430.11,90.0
429.83,89.95
429.56,89.9
429.29,89.85
429.01,89.8
428.71,89.75
428.43,89.7
428.14,89.65
427.86,89.6
427.58,89.55
427.3,89.5
427.02,89.45
426.74,89.4
426.45,89.35
426.17,89.3
425.87,89.25
425.59,89.2
425.33,89.15
425.06,89.1
424.78,89.05
424.49,89.0
424.19,88.95
423.93,88.9
423.66,88.85
423.39,88.8
423.03,88.75
422.8,88.7
422.51,88.65
422.22,88.6
421.96,88.55
421.64,88.5
421.36,88.45
421.12,88.4
420.79,88.35
420.51,88.3
420.25,88.25
419.98,88.2
419.7,88.15
419.4,88.1
419.12,88.05
418.85,88.0
418.58,87.95
418.29,87.9
417.97,87.85
417.71,87.8
417.35,87.75
417.01,87.7
416.79,87.65
416.68,87.6
416.42,87.55
416.07,87.5
415.71,87.45
415.42,87.4
415.18,87.35
414.9,87.3
414.6,87.25
414.3,87.2
414.01,87.15
413.72,87.1
413.44,87.05
413.16,87.0
412.88,86.95
412.61,86.9
412.34,86.85
412.04,86.8
411.75,86.75
411.48,86.7
411.21,86.65
410.94,86.6
410.62,86.55
410.37,86.5
410.12,86.45
409.84,86.4
409.53,86.35
409.22,86.3
408.92,86.25
408.64,86.2
408.38,86.15
408.12,86.1
407.84,86.05
407.56,86.0
407.27,85.95
406.98,85.9
406.69,85.85
406.4,85.8
406.11,85.75
405.83,85.7
405.54,85.65
405.26,85.6
404.99,85.55
404.73,85.5
404.47,85.45
404.19,85.4
403.91,85.35
403.62,85.3
403.33,85.25
403.04,85.2
402.75,85.15
402.48,85.1
402.21,85.05
401.94,85.0
401.62,84.95
401.33,84.9
401.07,84.85
400.77,84.8
400.49,84.75
400.23,84.7
399.94,84.65
399.65,84.6
399.37,84.55
399.09,84.5
398.82,84.45
398.55,84.4
398.27,84.35
397.99,84.3
397.7,84.25
397.4,84.2
397.13,84.15
396.86,84.1
396.59,84.05
396.3,84.0
396.03,83.95
395.76,83.9
395.48,83.85
395.19,83.8
394.89,83.75
394.6,83.7
394.34,83.65
394.05,83.6
393.77,83.55
393.48,83.5
393.2,83.45
392.92,83.4
392.63,83.35
392.36,83.3
392.1,83.25
391.82,83.2
391.51,83.15
391.22,83.1
390.94,83.05
390.66,83.0
390.38,82.95
390.11,82.9
389.84,82.85
389.56,82.8
389.29,82.75
389.02,82.7
388.75,82.65
388.48,82.6
388.19,82.55
387.91,82.5
387.63,82.45
387.34,82.4
387.03,82.35
386.74,82.3
386.46,82.25
386.19,82.2
