Aggregate,ATAR
488.25,99.95
487.49,99.9
487.17,99.85
486.87,99.8
486.53,99.75
486.24,99.7
485.96,99.65
485.65,99.6
485.33,99.55
485.04,99.5
484.73,99.45
484.43,99.4
484.12,99.35
483.79,99.3
483.49,99.25
483.21,99.2
482.87,99.15
482.59,99.1
482.29,99.05
482.02,99.0
481.73,98.95
481.41,98.9
481.1,98.85
480.81,98.8
480.48,98.75
480.18,98.7
479.75,98.65
479.3,98.6
479.08,98.55
478.9,98.5
478.68,98.45
478.38,98.4
478.1,98.35
477.69,98.3
477.41,98.25
476.89,98.2
476.71,98.15
476.52,98.1
476.28,98.05
475.99,98.0
475.67,97.95
475.23,97.9
475.02,97.85
474.78,97.8
474.52,97.75
474.2,97.7
473.81,97.65
473.58,97.6
473.16,97.55
472.97,97.5
472.67,97.45
472.42,97.4
472.09,97.35
471.82,97.3
471.42,97.25
471.06,97.2
470.88,97.15
470.46,97.1
470.3,97.05
470.03,97.0
469.52,96.95
469.14,96.9
468.96,96.85
468.77,96.8
468.53,96.75
468.29,96.7
467.99,96.65
467.66,96.6
467.39,96.55
467.11,96.5
466.71,96.45
466.48,96.4
466.23,96.35
465.9,96.3
465.34,96.25
465.04,96.2
464.85,96.15
464.68,96.1
464.5,96.05
464.18,96.0
463.87,95.95
463.59,95.9
463.15,95.85
462.89,95.8
462.71,95.75
462.47,95.7
462.22,95.65
461.92,95.6
461.59,95.55
461.26,95.5
460.89,95.45
460.73,95.4
460.42,95.35
460.15,95.3
459.86,95.25
459.55,95.2
459.25,95.15
458.98,95.1
458.7,95.05
458.41,95.0
458.13,94.95
457.85,94.9
457.57,94.85
457.23,94.8
457.0,94.75
456.69,94.7
456.33,94.65
456.14,94.6
455.84,94.55
455.5,94.5
455.3,94.45
455.0,94.4
454.7,94.35
454.41,94.3
454.13,94.25
453.85,94.2
453.58,94.15
453.31,94.1
453.0,94.05
452.71,94.0
452.4,93.95
452.18,93.9
451.87,93.85
451.6,93.8
451.38,93.75
451.15,93.7
450.91,93.65
450.63,93.6
450.29,93.55
449.77,93.5
449.59,93.45
449.38,93.4
449.06,93.35
448.78,93.3
448.5,93.25
448.22,93.2
447.95,93.15
447.66,93.1
447.38,93.05
447.08,93.0
446.81,92.95
446.53,92.9
446.16,92.85
445.81,92.8
445.59,92.75
445.42,92.7
445.15,92.65
444.87,92.6
444.58,92.55
444.28,92.5
443.96,92.45
443.74,92.4
443.39,92.35
442.93,92.3
442.46,92.25
442.1,92.2
441.82,92.15
441.54,92.1
441.24,92.05
440.96,92.0
440.69,91.95
440.47,91.9
440.27,91.85
440.05,91.8
439.85,91.75
439.69,91.7
439.48,91.65
439.24,91.6
438.99,91.55
438.7,91.5
438.42,91.45
438.15,91.4
437.84,91.35
437.57,91.3
437.31,91.25
436.63,91.2
436.46,91.15
436.0,91.1
435.7,91.05
435.48,91.0
435.25,90.95
435.08,90.9
434.88,90.85
434.67,90.8
434.45,90.75
434.2,90.7
433.9,90.65
433.64,90.6
433.37,90.55
433.08,90.5
432.8,90.45
432.53,90.4
432.25,90.35
431.96,90.3
431.68,90.25
431.4,90.2
431.1,90.15
430.73,90.1
430.31,90.05
429.93,90.0
429.65,89.95
429.48,89.9
429.31,89.85
429.15,89.8
428.88,89.75
428.43,89.7
427.92,89.65
427.51,89.6
427.21,89.55
426.94,89.5
426.67,89.45
426.4,89.4
426.09,89.35
425.79,89.3
425.52,89.25
425.34,89.2
425.18,89.15
425.02,89.1
424.85,89.05
424.67,89.0
424.39,88.95
424.07,88.9
423.81,88.85
423.53,88.8
423.15,88.75
422.93,88.7
422.67,88.65
422.25,88.6
421.82,88.55
421.47,88.5
421.29,88.45
421.15,88.4
420.95,88.35
420.7,88.3
420.42,88.25
420.15,88.2
419.87,88.15
419.47,88.1
419.29,88.05
419.02,88.0
418.74,87.95
418.45,87.9
418.14,87.85
417.87,87.8
417.54,87.75
417.22,87.7
416.97,87.65
416.8,87.6
416.53,87.55
416.2,87.5
415.87,87.45
415.58,87.4
415.32,87.35
415.01,87.3
414.59,87.25
414.31,87.2
414.13,87.15
413.87,87.1
413.5,87.05
413.09,87.0
412.75,86.95
412.57,86.9
412.41,86.85
412.2,86.8
411.89,86.75
411.62,86.7
410.83,86.65
410.62,86.6
410.41,86.55
410.25,86.5
410.09,86.45
409.9,86.4
409.67,86.35
409.38,86.3
409.06,86.25
408.76,86.2
408.49,86.15
408.19,86.1
407.88,86.05
407.55,86.0
407.22,85.95
406.88,85.9
406.54,85.85
406.21,85.8
405.89,85.75
405.59,85.7
405.31,85.65
405.06,85.6
404.85,85.55
404.67,85.5
404.48,85.45
404.24,85.4
403.66,85.35
403.13,85.3
402.87,85.25
402.65,85.2
402.47,85.15
402.31,85.1
402.15,85.05
401.71,85.0
401.12,84.95
400.82,84.9
400.56,84.85
400.29,84.8
400.03,84.75
399.79,84.7
399.55,84.65
399.32,84.6
399.12,84.55
398.95,84.5
398.79,84.45
398.52,84.4
398.22,84.35
397.94,84.3
397.65,84.25
397.36,84.2
397.08,84.15
396.81,84.1
396.52,84.05
396.23,84.0
395.92,83.95
395.53,83.9
395.1,83.85
394.69,83.8
394.39,83.75
394.21,83.7
394.05,83.65
393.87,83.6
393.68,83.55
393.39,83.5
393.03,83.45
392.62,83.4
392.19,83.35
391.78,83.3
391.42,83.25
391.1,83.2
390.86,83.15
390.63,83.1
390.43,83.05
390.25,83.0
390.08,82.95
389.92,82.9
389.71,82.85
389.45,82.8
389.15,82.75
388.83,82.7
388.52,82.65
388.22,82.6
387.91,82.55
387.57,82.5
387.22,82.45
386.86,82.4
386.49,82.35
386.15,82.3
385.84,82.25
385.58,82.2
385.35,82.15
385.18,82.1
385.02,82.05
384.8,82.0
384.39,81.95
383.88,81.9
383.42,81.85
383.09,81.8
382.83,81.75
382.62,81.7
382.42,81.65
382.25,81.6
382.09,81.55
381.91,81.5
381.67,81.45
381.28,81.4
380.82,81.35
380.35,81.3
379.96,81.25
379.68,81.2
379.49,81.15
379.32,81.1
379.16,81.05
379.0,81.0
378.82,80.95
378.58,80.9
378.24,80.85
377.52,80.8
377.35,80.75
377.18,80.7
377.01,80.65
376.81,80.6
376.56,80.55
376.28,80.5
375.98,80.45
375.66,80.4
375.35,80.35
375.04,80.3
374.76,80.25
374.49,80.2
374.22,80.15
373.94,80.1
373.65,80.05
373.35,80.0
372.99,79.95
372.55,79.9
372.11,79.85
371.7,79.8
371.38,79.75
371.11,79.7
370.84,79.65
370.56,79.6
370.26,79.55
369.94,79.5
369.63,79.45
369.34,79.4
369.14,79.35
368.97,79.3
368.81,79.25
368.64,79.2
368.47,79.15
367.69,79.1
367.37,79.05
367.12,79.0
366.88,78.95
366.69,78.9
366.52,78.85
366.31,78.8
366.04,78.75
365.7,78.7
365.34,78.65
364.97,78.6
364.61,78.55
364.28,78.5
363.99,78.45
363.7,78.4
363.44,78.35
363.2,78.3
362.97,78.25
362.74,78.2
362.51,78.15
362.3,78.1
362.09,78.05
361.89,78.0
361.7,77.95
361.4,77.9
360.99,77.85
360.54,77.8
360.17,77.75
359.96,77.7
359.79,77.65
359.63,77.6
359.46,77.55
359.11,77.5
358.51,77.45
358.08,77.4
357.77,77.35
357.49,77.3
357.24,77.25
357.0,77.2
356.78,77.15
356.57,77.1
356.37,77.05
356.16,77.0
355.95,76.95
355.73,76.9
355.5,76.85
355.26,76.8
354.97,76.75
354.64,76.7
354.36,76.65
354.16,76.6
