Aggregate,ATAR
487.87,99.95
487.5,99.9
487.18,99.85
486.8,99.8
486.28,99.7
486.12,99.75
485.96,99.65
485.65,99.6
485.33,99.55
485.04,99.5
484.73,99.45
484.43,99.4
484.12,99.35
483.79,99.3
483.49,99.25
483.19,99.2
482.81,99.15
482.49,99.1
482.31,99.05
482.01,99.0
481.73,98.95
481.41,98.9
481.1,98.85
480.8,98.8
480.49,98.75
480.17,98.7
479.7,98.65
479.1,98.6
478.71,98.45
478.7,98.55
478.5,98.5
478.38,98.4
478.1,98.35
477.73,98.3
477.1,98.25
476.68,98.2
476.58,98.15
476.5,98.1
476.3,98.05
475.99,98.0
475.63,97.95
475.0,97.9
474.86,97.85
474.81,97.8
474.53,97.75
474.13,97.7
473.54,97.6
473.52,97.65
472.92,97.5
472.88,97.55
472.68,97.45
472.4,97.4
472.1,97.35
471.8,97.3
471.25,97.25
470.75,97.15
470.73,97.2
470.26,97.05
470.23,97.1
470.03,97.0
469.46,96.95
468.94,96.9
468.59,96.85
468.58,96.75
468.39,96.8
468.29,96.7
468.01,96.65
467.67,96.6
467.39,96.55
467.09,96.5
466.74,96.45
466.34,96.4
466.24,96.35
465.89,96.3
465.25,96.25
464.87,96.2
464.74,96.15
464.63,96.1
464.5,96.05
464.18,96.0
463.87,95.95
463.57,95.9
463.05,95.85
462.52,95.7
462.45,95.8
462.28,95.75
462.23,95.65
461.93,95.6
461.59,95.55
461.2,95.5
460.76,95.4
460.59,95.45
460.42,95.35
460.15,95.3
459.87,95.25
459.55,95.2
459.25,95.15
458.97,95.1
458.7,95.05
458.44,95.0
458.18,94.95
457.92,94.9
457.53,94.85
457.04,94.75
456.89,94.8
456.64,94.7
456.1,94.65
456.02,94.6
455.65,94.55
455.33,94.45
455.13,94.5
455.0,94.4
454.7,94.35
454.41,94.3
454.14,94.25
453.85,94.2
453.58,94.15
453.31,94.1
453.01,94.05
452.64,94.0
452.22,93.9
452.05,93.95
451.87,93.85
451.61,93.8
451.38,93.75
451.17,93.7
450.93,93.65
450.66,93.6
450.22,93.55
449.52,93.45
449.49,93.5
449.39,93.4
449.06,93.35
448.78,93.3
448.5,93.25
448.22,93.2
447.95,93.15
447.66,93.1
447.38,93.05
447.09,93.0
446.81,92.95
446.52,92.9
446.16,92.85
445.81,92.8
445.59,92.75
445.42,92.7
445.16,92.65
444.87,92.6
444.58,92.55
444.21,92.5
443.78,92.4
443.61,92.45
443.4,92.35
442.94,92.3
442.47,92.25
442.1,92.2
441.82,92.15
441.54,92.1
441.24,92.05
440.96,92.0
440.69,91.95
440.47,91.9
440.27,91.85
440.05,91.8
439.84,91.75
439.69,91.7
439.48,91.65
439.24,91.6
438.98,91.55
438.7,91.5
438.42,91.45
438.15,91.4
437.84,91.35
437.57,91.3
437.25,91.25
436.46,91.2
436.27,91.15
436.1,91.1
435.7,91.05
435.48,91.0
435.27,90.95
435.07,90.9
434.89,90.85
434.67,90.8
434.45,90.75
434.2,90.7
433.9,90.65
433.64,90.6
433.37,90.55
433.08,90.5
432.8,90.45
432.53,90.4
432.25,90.35
431.97,90.3
431.68,90.25
431.4,90.2
431.1,90.15
430.73,90.1
430.3,90.05
429.88,90.0
429.5,89.95
429.21,89.9
429.13,89.8
429.08,89.85
428.89,89.75
428.43,89.7
427.93,89.65
427.51,89.6
427.21,89.55
426.94,89.5
426.68,89.45
426.4,89.4
426.08,89.35
425.77,89.3
425.5,89.25
425.31,89.2
425.16,89.15
425.01,89.1
424.85,89.05
424.67,89.0
424.39,88.95
424.07,88.9
423.81,88.85
423.51,88.8
422.9,88.75
422.7,88.65
422.53,88.7
422.19,88.6
421.69,88.55
421.3,88.5
421.17,88.45
421.09,88.4
420.95,88.35
420.71,88.3
420.42,88.25
420.15,88.2
419.8,88.15
419.31,88.05
419.19,88.1
419.02,88.0
418.74,87.95
418.45,87.9
418.15,87.85
417.87,87.8
417.54,87.75
417.22,87.7
416.98,87.65
416.79,87.6
416.53,87.55
416.2,87.5
415.87,87.45
415.58,87.4
415.32,87.35
414.97,87.3
414.35,87.25
414.09,87.15
414.0,87.2
413.87,87.1
413.43,87.05
412.91,87.0
412.5,86.95
412.35,86.9
412.35,86.85
412.22,86.8
411.9,86.75
411.54,86.7
410.81,86.65
410.62,86.6
410.41,86.55
410.24,86.5
410.09,86.45
409.9,86.4
409.67,86.35
409.38,86.3
409.06,86.25
408.76,86.2
408.48,86.15
408.19,86.1
407.88,86.05
407.55,86.0
407.22,85.95
406.88,85.9
406.54,85.85
406.21,85.8
405.89,85.75
405.59,85.7
405.31,85.65
405.06,85.6
404.85,85.55
404.66,85.5
404.48,85.45
404.23,85.4
403.69,85.35
403.13,85.3
402.8,85.25
402.53,85.2
402.35,85.15
402.24,85.1
402.13,85.05
401.91,85.0
401.1,84.95
400.83,84.9
400.55,84.85
400.23,84.8
399.91,84.75
399.6,84.7
399.29,84.65
399.0,84.6
398.79,84.55
398.79,84.45
398.71,84.5
398.52,84.4
398.22,84.35
397.93,84.3
397.65,84.25
397.36,84.2
397.08,84.15
396.81,84.1
396.53,84.05
396.24,84.0
395.92,83.95
395.5,83.9
395.02,83.85
394.57,83.8
394.25,83.75
394.09,83.7
393.99,83.65
393.87,83.6
393.69,83.55
393.42,83.5
393.08,83.45
392.7,83.4
392.29,83.35
391.88,83.3
391.5,83.25
391.14,83.2
390.8,83.15
390.47,83.1
390.17,83.05
389.99,83.0
389.95,82.95
389.93,82.9
389.72,82.85
389.45,82.8
389.15,82.75
388.83,82.7
388.52,82.65
388.22,82.6
387.9,82.55
387.56,82.5
387.21,82.45
386.84,82.4
386.46,82.35
386.09,82.3
385.74,82.25
385.41,82.2
385.09,82.15
384.94,82.05
384.88,82.1
384.82,82.0
384.39,81.95
383.89,81.9
383.43,81.85
383.1,81.8
382.83,81.75
382.52,81.7
382.24,81.65
382.08,81.6
382.01,81.55
381.91,81.5
381.69,81.45
381.33,81.4
380.9,81.35
380.45,81.3
380.02,81.25
379.65,81.2
379.34,81.15
379.11,81.1
379.02,81.05
378.97,81.0
378.82,80.95
378.59,80.9
378.19,80.85
377.3,80.8
376.97,80.75
376.84,80.6
376.73,80.7
376.64,80.65
376.59,80.55
376.31,80.5
376.0,80.45
375.68,80.4
375.35,80.35
375.05,80.3
374.76,80.25
374.49,80.2
374.22,80.15
373.94,80.1
373.65,80.05
373.35,80.0
372.99,79.95
372.56,79.9
372.11,79.85
371.71,79.8
371.38,79.75
371.11,79.7
370.84,79.65
370.56,79.6
370.26,79.55
369.97,79.5
369.68,79.45
369.39,79.4
369.1,79.35
368.84,79.3
368.71,79.25
368.6,79.2
368.41,79.15
367.75,79.1
367.38,79.05
367.13,79.0
366.86,78.95
366.62,78.9
366.51,78.85
366.32,78.8
366.04,78.75
365.71,78.7
365.34,78.65
364.97,78.6
364.61,78.55
364.28,78.5
363.99,78.45
363.72,78.4
363.45,78.35
363.17,78.3
362.87,78.25
362.56,78.2
362.26,78.15
361.96,78.1
361.69,78.05
361.66,77.95
361.54,78.0
361.42,77.9
361.01,77.85
360.55,77.8
360.11,77.75
359.77,77.7
359.45,77.65
359.41,77.55
359.27,77.6
359.12,77.5
358.53,77.45
358.08,77.4
357.77,77.35
357.49,77.3
357.24,77.25
357.0,77.2
356.78,77.15
356.58,77.1
356.38,77.05
356.18,77.0
355.97,76.95
355.75,76.9
355.52,76.85
355.25,76.8
354.85,76.75
354.34,76.7
353.98,76.65
353.98,76.55
353.97,76.6
353.58,76.5
352.78,76.45
352.49,76.4
352.24,76.35
352.02,76.3
351.82,76.25
351.64,76.2
351.46,76.15
351.27,76.1
351.06,76.05
350.82,76.0
350.49,75.95
349.83,75.9
349.41,75.85
349.06,75.8
348.72,75.75
348.4,75.7
348.1,75.65
347.82,75.6
347.57,75.55
347.34,75.5
347.1,75.45
346.89,75.4
346.7,75.35
346.69,75.25
346.59,75.3
346.15,75.2
345.7,75.15
345.38,75.1
345.09,75.05
344.81,75.0
344.56,74.95
344.3,74.9
344.04,74.85
343.78,74.8
343.51,74.75
343.23,74.7
342.96,74.65
342.69,74.6
342.43,74.55
342.17,74.5
341.91,74.45
341.65,74.4
341.4,74.35
341.13,74.3
340.87,74.25
340.61,74.2
340.34,74.15
340.08,74.1
339.81,74.05
339.55,74.0
339.28,73.95
339.01,73.9
338.74,73.85
338.48,73.8
338.21,73.75
337.94,73.7
337.67,73.65
337.41,73.6
337.14,73.55
336.88,73.5
336.61,73.45
336.35,73.4
336.09,73.35
335.83,73.3
335.56,73.25
335.3,73.2
335.05,73.15
334.8,73.1
334.54,73.05
334.26,73.0
333.99,72.95
333.71,72.9
333.42,72.85
333.15,72.8
332.93,72.65
332.9,72.75
332.76,72.7
332.18,72.6
331.89,72.55
331.68,72.4
331.65,72.5
331.53,72.45
331.37,72.35
330.94,72.3
330.51,72.25
330.15,72.2
329.86,72.15
329.58,72.1
