ATAR,Aggregate,Students_in_Band,Cumulative_Students,Cumulative_Pct
99.95,488.62,37,37,0.12
99.9,487.72,37,74,0.25
99.85,487.5,38,112,0.37
99.8,487.2,37,149,0.49
99.75,486.84,37,186,0.62
99.7,486.54,38,224,0.74
99.65,486.28,37,261,0.87
99.6,485.96,37,298,0.99
99.55,485.61,38,336,1.11
99.5,485.29,37,373,1.24
99.45,484.96,38,411,1.36
99.4,484.68,37,448,1.49
99.35,484.38,38,486,1.61
99.3,484.03,39,525,1.74
99.25,483.71,38,563,1.87
99.2,483.41,37,600,1.99
99.15,483.12,38,638,2.11
99.1,482.77,37,675,2.24
99.05,482.48,38,713,2.36
99.0,482.2,38,751,2.49
98.95,481.89,37,788,2.61
98.9,481.55,38,826,2.74
98.85,481.26,38,864,2.86
98.8,480.96,38,902,2.99
98.75,480.6,38,940,3.12
98.7,480.29,37,977,3.24
98.65,480.01,37,1014,3.36
98.6,479.71,39,1053,3.49
98.55,479.36,37,1090,3.61
98.5,479.06,38,1128,3.74
98.45,478.75,38,1166,3.87
98.4,478.47,37,1203,3.99
98.35,478.18,38,1241,4.11
98.3,477.84,37,1278,4.24
98.25,477.53,37,1315,4.36
98.2,477.21,38,1353,4.49
98.15,476.91,38,1391,4.61
98.1,476.59,38,1429,4.74
98.05,476.3,38,1467,4.86
98.0,476.01,39,1506,4.99
97.95,475.69,38,1544,5.12
97.9,475.37,38,1582,5.24
97.85,475.06,38,1620,5.37
97.8,474.78,38,1658,5.5
97.75,474.5,38,1696,5.62
97.7,474.19,38,1734,5.75
97.65,473.88,38,1772,5.87
97.6,473.58,38,1810,6.0
97.55,473.24,38,1848,6.13
97.5,472.93,38,1886,6.25
97.45,472.63,38,1924,6.38
97.4,472.4,38,1962,6.5
97.35,472.03,38,2000,6.63
97.3,471.76,38,2038,6.76
97.25,471.42,38,2076,6.88
97.2,471.11,38,2114,7.01
97.15,470.81,37,2151,7.13
97.1,470.53,37,2188,7.25
97.05,470.26,37,2225,7.38
97.0,469.95,37,2262,7.5
96.95,469.65,39,2301,7.63
96.9,469.36,38,2339,7.75
96.85,469.07,38,2377,7.88
96.8,468.75,38,2415,8.01
96.75,468.42,38,2453,8.13
96.7,468.15,38,2491,8.26
96.65,467.86,38,2529,8.38
96.6,467.55,38,2567,8.51
96.55,467.28,38,2605,8.64
96.5,466.99,38,2643,8.76
96.45,466.63,38,2681,8.89
96.4,466.38,38,2719,9.01
