Subject Name	Subject ID	Min X	PZX	P25 X	P50 X	P75 X	P90 X	P99 X	Max X	Min Y	PZY	P25 Y	P50 Y	P75 Y	P90 Y	P99 Y	Max Y	X4	X3	X2	X1	X0	Z3	Z2	Z1	Z0
Aboriginal and Torres Strait Islander Studies	2	10	41.25	55	65	78	88	97	100	0	10.75	21.91	32.49	49.26	62.48	73.02	76.53	-1.846545573362654e-06	0.0003450329527678323	-0.01158797488319588	0.3450573548113783	-2.6183623968999044	2.0053815119266177e-18	0.010383838383838148	-0.18806060606059782	0.8422222222221576
Accounting	3	10	46.5	62	74	86	93	99	100	0	43.84	62.95	77.94	88.02	91.84	94.2	94.7	-4.932882595627753e-07	-7.772418618224946e-06	0.007535110258994235	0.8547925321668527	-9.281335768409214	5.4771613278159e-19	0.0006029647435896486	1.167163461538466	-11.731931089743654
Aerospace Systems	4	10	42.75	57	72	81	87	95	100	0	32.2	50.87	73.57	83.44	88.21	92.69	95.49	-3.7657002848843836e-07	-0.00010951838871279569	0.0248664470905522	-0.04688861529335686	-1.8787892435442117	-2.727725530095273e-18	0.006951498512926478	0.6165900251658516	-6.861050102951175
Agricultural Science	6	10	52.5	70	77	84	88	94	100	0	15.54	43.21	57.75	71.06	77.43	85.0	92.57	-4.143524907464107e-06	0.0007227472602946696	-0.022183831684137477	0.04475534930541469	1.093776999296395	-1.9865047284346997e-18	0.020253375977256873	-0.9001034115138716	6.975696517413037
Ancient History	7	10	46.5	62	74	85	92	98	100	0	29.17	48.72	66.79	80.0	86.1	90.01	91.31	-1.8443050657951227e-06	0.0002458180425889293	-0.0005244694193972266	0.38859882294496506	-4.052558080475322	2.9085615327022365e-18	0.008889222756409873	0.29689903846155263	-3.8579126602565275
Biology	10	10	54.75	73	81	89	94	98	100	0	29.9	59.25	75.25	86.4	90.97	93.58	94.88	-5.976070016084925e-06	0.0011520690597904052	-0.06110950758920043	1.6217641881472513	-11.196255176382351	1.7868825853746072e-18	0.014922870556673046	-0.29812206572768346	1.4889336016095385
Business	12	10	45.0	60	70	80	88	97	100	0	31.24	49.2	62.7	74.48	81.94	88.17	90.25	-9.206280807796213e-07	7.182491085615108e-05	0.007530851743508327	0.39612379661512537	-4.769197562303368	1.5481020083392888e-18	0.006099999999999764	0.5570000000000106	-6.180000000000085
Chemistry	15	10	57.0	76	85	92	96	99	100	0	51.23	77.08	90.36	95.41	97.04	97.88	98.38	-5.729038333156271e-06	0.0011984833681018558	-0.08204288417264029	3.173937981727084	-24.674694406672224	1.6832644517141683e-18	0.004102356902356608	0.8150760942761088	-8.560996632996762
Chinese	17	10	63.75	85	91	96	98	100	100	0	60.87	79.34	83.98	87.17	88.29	89.32	89.82	-9.020496719886761e-07	0.00021228002121831982	-0.02067818512991089	1.915231441043065	-17.28772342762923	1.7320993772387412e-18	-0.0035127572016464045	1.391578600823061	-13.56451028806599
Chinese Extension	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
