ATAR,Aggregate
30.05,164.49
30.1,164.65
30.15,164.82
30.2,164.98
30.25,165.15
30.3,165.31
30.35,165.48
30.4,165.65
30.45,165.81
30.5,165.98
30.55,166.14
30.6,166.31
30.65,166.47
30.7,166.64
30.75,166.81
30.8,166.97
30.85,167.14
30.9,167.31
30.95,167.47
31.0,167.64
31.05,167.8
31.1,167.97
31.15,168.14
31.2,168.3
31.25,168.47
31.3,168.64
31.35,168.8
31.4,168.97
31.45,169.14
31.5,169.3
31.55,169.47
31.6,169.64
31.65,169.8
31.7,169.97
31.75,170.14
31.8,170.31
31.85,170.47
31.9,170.64
31.95,170.81
32.0,170.98
32.05,171.14
32.1,171.31
32.15,171.48
32.2,171.65
32.25,171.81
32.3,171.98
32.35,172.15
32.4,172.32
32.45,172.48
32.5,172.65
32.55,172.82
32.6,172.99
32.65,173.16
32.7,173.32
32.75,173.49
32.8,173.66
32.85,173.83
32.9,174.0
32.95,174.17
33.0,174.34
33.05,174.5
33.1,174.67
33.15,174.84
33.2,175.01
33.25,175.18
33.3,175.35
33.35,175.52
33.4,175.69
33.45,175.85
33.5,176.02
33.55,176.19
33.6,176.36
33.65,176.53
33.7,176.7
33.75,176.87
33.8,177.04
33.85,177.21
33.9,177.38
33.95,177.55
34.0,177.72
34.05,177.89
34.1,178.06
34.15,178.23
34.2,178.4
34.25,178.57
34.3,178.74
34.35,178.91
34.4,179.08
34.45,179.25
34.5,179.42
34.55,179.59
34.6,179.76
34.65,179.93
34.7,180.1
34.75,180.27
34.8,180.44
34.85,180.61
34.9,180.78
34.95,180.95
35.0,181.12
35.05,181.29
35.1,181.46
35.15,181.63
35.2,181.81
35.25,181.98
35.3,182.15
35.35,182.32
35.4,182.49
35.45,182.66
35.5,182.83
35.55,183.0
35.6,183.18
35.65,183.35
35.7,183.52
35.75,183.69
35.8,183.86
35.85,184.03
35.9,184.2
35.95,184.38
36.0,184.55
36.05,184.72
36.1,184.89
36.15,185.06
36.2,185.24
36.25,185.41
36.3,185.58
36.35,185.75
36.4,185.93
36.45,186.1
36.5,186.27
36.55,186.44
36.6,186.62
36.65,186.79
36.7,186.96
36.75,187.13
36.8,187.31
36.85,187.48
36.9,187.65
36.95,187.82
37.0,188.0
37.05,188.17
37.1,188.34
37.15,188.52
37.2,188.69
37.25,188.86
37.3,189.04
37.35,189.21
37.4,189.38
37.45,189.56
37.5,189.73
37.55,189.9
37.6,190.08
37.65,190.25
37.7,190.42
37.75,190.6
37.8,190.77
37.85,190.95
37.9,191.12
37.95,191.29
38.0,191.47
38.05,191.64
38.1,191.82
38.15,191.99
38.2,192.17
38.25,192.34
38.3,192.51
38.35,192.69
38.4,192.86
38.45,193.04
38.5,193.21
38.55,193.39
38.6,193.56
38.65,193.74
38.7,193.91
38.75,194.09
38.8,194.26
38.85,194.44
38.9,194.61
38.95,194.79
39.0,194.96
39.05,195.14
39.1,195.31
39.15,195.49
39.2,195.66
39.25,195.84
39.3,196.01
39.35,196.19
39.4,196.37
39.45,196.54
39.5,196.72
39.55,196.89
39.6,197.07
39.65,197.24
39.7,197.42
39.75,197.6
39.8,197.77
39.85,197.95
39.9,198.12
39.95,198.3
40.0,198.48
40.05,198.65
40.1,198.83
40.15,199.01
40.2,199.18
40.25,199.36
40.3,199.54
40.35,199.71
40.4,199.89
40.45,200.07
40.5,200.24
40.55,200.42
40.6,200.6
40.65,200.77
40.7,200.95
40.75,201.13
40.8,201.31
40.85,201.48
40.9,201.66
40.95,201.84
41.0,202.01
41.05,202.19
41.1,202.37
41.15,202.55
41.2,202.73
41.25,202.9
41.3,203.08
41.35,203.26
41.4,203.44
41.45,203.61
41.5,203.79
41.55,203.97
41.6,204.15
41.65,204.33
41.7,204.5
41.75,204.68
41.8,204.86
41.85,205.04
41.9,205.22
41.95,205.4
42.0,205.57
42.05,205.75
42.1,205.93
42.15,206.11
42.2,206.29
42.25,206.47
42.3,206.65
42.35,206.83
42.4,207.01
42.45,207.18
42.5,207.36
42.55,207.54
42.6,207.72
42.65,207.9
42.7,208.08
42.75,208.26
42.8,208.44
42.85,208.62
42.9,208.8
42.95,208.98
43.0,209.16
43.05,209.34
43.1,209.52
43.15,209.7
43.2,209.88
43.25,210.06
43.3,210.24
43.35,210.42
43.4,210.6
43.45,210.78
43.5,210.96
43.55,211.14
43.6,211.32
43.65,211.5
43.7,211.68
43.75,211.86
43.8,212.04
43.85,212.22
43.9,212.4
43.95,212.58
44.0,212.76
44.05,212.94
44.1,213.12
44.15,213.3
44.2,213.49
44.25,213.67
44.3,213.85
44.35,214.03
44.4,214.21
44.45,214.39
44.5,214.57
44.55,214.75
44.6,214.93
44.65,215.12
44.7,215.3
44.75,215.48
44.8,215.66
44.85,215.84
44.9,216.02
44.95,216.21
45.0,216.39
45.05,216.57
45.1,216.75
45.15,216.93
45.2,217.12
45.25,217.3
45.3,217.48
45.35,217.66
45.4,217.85
45.45,218.03
45.5,218.21
45.55,218.39
45.6,218.57
45.65,218.76
45.7,218.94
45.75,219.12
45.8,219.31
45.85,219.49
45.9,219.67
45.95,219.85
46.0,220.04
46.05,220.22
46.1,220.4
46.15,220.59
46.2,220.77
46.25,220.95
46.3,221.14
46.35,221.32
46.4,221.5
46.45,221.69
46.5,221.87
46.55,222.05
46.6,222.24
46.65,222.42
46.7,222.6
46.75,222.79
46.8,222.97
46.85,223.16
46.9,223.34
46.95,223.52
47.0,223.71
47.05,223.89
47.1,224.08
47.15,224.26
47.2,224.45
47.25,224.63
47.3,224.81
47.35,225.0
47.4,225.18
47.45,225.37
47.5,225.55
47.55,225.74
47.6,225.92
47.65,226.11
47.7,226.29
47.75,226.48
47.8,226.66
47.85,226.85
47.9,227.03
47.95,227.22
48.0,227.4
48.05,227.58
48.1,227.77
48.15,227.95
48.2,228.13
48.25,228.31
48.3,228.5
48.35,228.68
48.4,228.86
48.45,229.04
48.5,229.22
48.55,229.41
48.6,229.59
48.65,229.77
48.7,229.95
48.75,230.13
48.8,230.31
48.85,230.48
48.9,230.66
48.95,230.84
49.0,231.01
49.05,231.19
49.1,231.36
49.15,231.54
49.2,231.71
49.25,231.89
49.3,232.06
49.35,232.23
49.4,232.41
49.45,232.58
49.5,232.76
49.55,232.94
49.6,233.11
49.65,233.29
49.7,233.46
49.75,233.64
49.8,233.82
49.85,234.0
49.9,234.18
49.95,234.36
50.0,234.54
50.05,234.73
50.1,234.91
50.15,235.1
50.2,235.28
50.25,235.47
50.3,235.66
50.35,235.85
50.4,236.05
50.45,236.24
50.5,236.44
50.55,236.64
50.6,236.84
50.65,237.04
50.7,237.25
50.75,237.46
50.8,237.67
50.85,237.88
50.9,238.1
50.95,238.33
51.0,238.59
51.05,238.85
51.1,239.1
51.15,239.35
51.2,239.58
51.25,239.79
51.3,239.99
51.35,240.19
51.4,240.39
51.45,240.57
51.5,240.76
51.55,240.93
51.6,241.09
51.65,241.25
51.7,241.39
51.75,241.53
51.8,241.67
51.85,241.8
51.9,241.93
51.95,242.07
52.0,242.22
52.05,242.38
52.1,242.57
52.15,242.78
52.2,243.01
52.25,243.26
52.3,243.51
52.35,243.77
52.4,244.02
52.45,244.25
52.5,244.47
52.55,244.65
52.6,244.82
