Subject Name	Subject ID	Min X	PZX	P25 X	P50 X	P75 X	P90 X	P99 X	Max X	Min Y	PZY	P25 Y	P50 Y	P75 Y	P90 Y	P99 Y	Max Y	X4	X3	X2	X1	X0	Z3	Z2	Z1	Z0
Aboriginal and Torres Strait Islander Studies	2	10	41.25	55	62	75	88	91	95	0	3	15.02	23.98	48.05	73.06	77.66	86	0	-0.000174224	0.0449467242	-1.961035244	15.3009254322	-0.0008176025	0.1861873849	-12.1065528072	253.7060125027
Accounting	3	10	47.25	63	74	85	92	98	99	0	29.44	65.43	79.25	88.51	92.33	94.64	97	0	-0.0001722234	0.0247878484	0.2375438594	-4.6853867517	0.0001081622	-0.0430461723	5.6289563771	-145.3917895483
Aerospace Systems	4	10	42	56	67	79	88	97	99	0	11.44	50.2	66.52	80.64	87.89	92.67	96	0	-0.0002267833	0.0362367175	-0.436070486	0.9592432517	-0.0000483561	-0.004532352	2.5983480221	-72.6175368621
Agricultural Science	6	10	51	68	77	85	90	93	96	0	22.83	41.15	58.37	72.23	79.29	82.84	89	0	-0.0004127565	0.0821601248	-3.4690302898	26.8873418189	-0.0005602766	0.1178700422	-6.3302928887	102.7459605494
Ancient History	7	10	45	60	71	83	91	98	99	0	15.89	49.83	67.22	81.89	88.45	92.39	96	0	-0.0002767766	0.0478006139	-1.1560878978	7.0537439805	-0.0000627171	-0.0029221375	2.7780736979	-92.7989688097
Biology	10	10	52.5	70	80	89	95	99	100	0	31.93	58.87	76.29	86.96	91.56	93.75	97	0	-0.0004039065	0.0746653791	-2.687309202	19.8088082833	0.0001163723	-0.057468633	8.397240458	-287.2588358985
Business	12	10	43.5	58	68	79	87	96	98	0	12.26	49.63	63.16	75.91	83.07	88.98	93	0	-0.0001861841	0.0305195894	-0.2873322168	0.006337029	-0.000095206	0.0096360753	1.2792711084	-38.4165569703
Chemistry	15	10	57	76	85	92	95	99	100	0	55.64	76.74	90.45	95.56	96.83	97.99	99	0	-0.0004726347	0.084560639	-2.9706096269	21.7216850169	0.0009554769	-0.2912158696	29.814291418	-926.5144559886
Chinese	17	10	63	84	92	96	98	100	100	0	55.83	81.25	87.21	89.54	90.55	91.48	95	0	-0.0000962006	0.0135599975	0.5925931727	-7.185737796	0.000101354	-0.0411981813	5.6397037801	-161.8637458702
Dance	18	10	53.25	71	81	90	96	100	100	0	19.66	42.67	56.51	68.21	74.99	78.93	87	0	-0.0001905101	0.0406201753	-1.476400424	10.892724064	-0.0002505095	0.0560474601	-2.7874343299	47.7016342935
Design	20	10	43.5	58	69	82	90	98	99	0	10.99	48.42	61.67	75.26	81.82	86.94	92	0	-0.0001284877	0.0207936454	0.1149235263	-3.1008201822	-0.0000903982	0.0119115878	0.7907084754	-19.8799154942
Digital Solutions	21	10	46.5	62	76	87	93	97	99	0	25.81	60.65	79.35	88.73	92.09	93.8	97	0	-0.0002183376	0.0342609638	-0.3012964821	-0.1985140602	0.0000886623	-0.0393734918	5.4989989316	-150.0677456194
Drama	22	10	49.5	66	78	89	95	100	100	0	16.98	44.94	63.24	77.32	83.19	87.1	92	0	-0.0002575456	0.0501704979	-1.6924079677	12.1640998128	-0.0001893605	0.0331584907	-0.2965364007	-25.4894070754
Earth and Environmental Science	25	10	53.25	71	78	85	90	95	97	0	32.89	51.44	66.21	78.38	84.91	89.72	94	0	-0.0005622269	0.107766069	-4.5956318795	35.7417574339	-0.0002812438	0.0380100629	1.1379715053	-120.3109646305
