Subject Name	Subject ID	Min X	PZX	P25 X	P50 X	P75 X	P90 X	P99 X	Max X	Min Y	PZY	P25 Y	P50 Y	P75 Y	P90 Y	P99 Y	Max Y	X4	X3	X2	X1	X0
Aboriginal and Torres Strait Islander Studies	2	10.18	32.59	55	65	78	88	97	100.0	0	5.62	21.91	32.49	49.26	62.48	73.02	76.53	-1.580065261851225e-06	0.000278581391475012	-0.005972210056990596	0.16943422138277942	-1.3860267351245774
Accounting	3	16.25	39.12	62	74	86	93	99	100.0	0	25.97	62.95	77.94	88.02	91.84	94.2	94.7	3.360341344421864e-06	-0.0010102855212976824	0.09650885835771325	-2.0874781877691664	12.538871541506154
Aerospace Systems	4	22.5	39.75	57	72	81	87	95	100.0	0	19.39	50.87	73.57	83.44	88.21	92.69	95.49	5.666735458246558e-06	-0.001667921264536448	0.16353420958024745	-4.818277110737915	43.16361618964688
Agricultural Science	6	44.95	57.48	70	77	84	88	94	100.0	0	15.11	43.21	57.75	71.06	77.43	85.0	92.57	1.7449716332777734e-05	-0.00573770195448005	0.6813323734705037	-32.721495634916856	544.0651496576568
Ancient History	7	30.0	46.0	62	74	85	92	98	100.0	0	21.65	48.72	66.79	80.0	86.1	90.01	91.31	2.925088361059023e-06	-0.0009953172256633872	0.10989350195906261	-3.29276886835106	24.38136018394308
Biology	10	43.88	58.44	73	81	89	94	98	100.0	0	22.57	59.25	75.25	86.4	90.97	93.58	94.88	2.0303345594151683e-05	-0.006690849165294206	0.7857466455451817	-37.04939510917787	602.8376813824319
Business	12	24.2	42.1	60	70	80	88	97	100.0	0	21.87	49.2	62.7	74.48	81.94	88.17	90.25	2.301241521830635e-06	-0.0007421106004614445	0.07678994372578585	-1.7218398077842203	6.422203563717559
Chemistry	15	47.25	61.62	76	85	92	96	99	100.0	0	39.1	77.08	90.36	95.41	97.04	97.88	98.38	2.7702846889405758e-05	-0.008701113681328265	0.9687601786953268	-43.13542279092628	655.1168509870649
Chinese	17	36.45	60.73	85	91	96	98	100	100.0	0	40.25	79.34	83.98	87.17	88.29	89.32	89.82	1.4192674181882832e-05	-0.004360709256820279	0.47104549546954005	-19.5080428610479	271.3617099574609
Chinese Extension	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dance	18	44.55	58.27	72	82	91	97	100	100.0	0	21.6	42.54	56.35	68.04	74.82	77.83	78.33	2.734307331369388e-07	-0.00014256033406867213	0.0171638216055185	0.7971116573383158	-58.052933141874306
Design	20	8.05	34.02	60	72	84	91	99	100.0	0	18.97	49.76	63.28	74.98	80.54	85.68	86.32	6.692530662960636e-07	-0.0002749737617368085	0.03170881561124673	-0.22669412609779904	-0.08968893049224391
Digital Solutions	21	25.65	45.33	65	78	89	94	98	100.0	0	23.42	61.47	80.34	90.06	92.86	94.56	95.41	6.8388721151740674e-06	-0.00210505299576938	0.2181777081217016	-7.454516060540685	80.22807461335032
Drama	22	33.0	50.5	68	80	89	96	100	100.0	0	17.37	45.56	63.83	75.54	82.68	85.96	86.46	3.1301564180550184e-06	-0.0011500175335808856	0.14290329968656118	-5.78832081647652	73.00698014913736
Earth and Environmental Science	25	50.38	61.69	73	80	87	92	96	100.0	0	18.69	49.02	65.37	78.74	85.71	89.81	93.91	2.8333448075457456e-05	-0.009493890555022427	1.1508186736139874	-57.72462921867533	1018.6888845706598
Economics	26	41.3	54.15	67	79	88	94	98	100.0	0	43.68	72.53	88.08	94.11	96.39	97.41	97.92	2.2577271919190804e-06	-0.00038102381619590695	-0.022907746510509135	7.204026517741708	-238.1776209445922
Engineering	27	31.2	46.6	62	75	86	92	97	100.0	0	40.53	71.04	86.87	93.87	96.03	97.25	97.98	3.6951661103860377e-06	-0.0009251326448500725	0.059173209066995636	1.3788395598627856	-76.02548157731286
English	31	24.75	42.88	61	72	83	91	99	100.0	0	20.07	52.67	70.12	83.18	89.48	93.6	94.11	4.653847408392608e-06	-0.0014885198131854333	0.15765231570875776	-5.0974042003000175	50.4102825443418
